|     Test Case ID    |     Test Case Description                        |     Test Data                                                                                                                                                                                                |     Expected Results                                                                              |     Actual Results    |
|---------------------|--------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------|-----------------------|
|     TC01            |     Check createCertificate function             |     name="Name1",     surname="Surname1",     hackathon=""hackathonA"",   startDate=1,     endDate=1,     hackathonParticipantId=1,     hackatonId=1,     solutionValid=FALSE,     solutionId=0              |     Certificate created with a tokenId of 1 and the created Certificate is in ISSUED state        |     As Expected       |
|     TC02            |     Check createCertificate function             |     name="Name2",     surname="Surname2",     hackathon="hackathonB",     startDate=1,     endDate=1,     hackathonParticipantId=2,     hackatonId=1,     solutionValid=FALSE,     solutionId=0              |     Certificate created with a tokenId of 2 and the created Certificate is in ISSUED state        |     As Expected       |
|     TC03            |     Check createCertificate function             |     name="Name3",     surname="Surname3",     hackathon="hackathonC",     startDate=1,     endDate=1,     hackathonParticipantId=3,     hackatonId=1,     solutionValid=TRUE,      solutionId=0              |     Certificate created with a tokenId of 3 and the created Certificate is in ISSUED state        |     As Expected       |
|     TC04            |     Check createCertificate function             |     name="Name4",     surname="Surname4",     hackathon="hackathonD",     startDate=1,     endDate=1,     hackathonParticipantId=4,     hackatonId=1,     solutionValid=TRUE,      solutionId=0              |     Certificate created with a tokenId of 4 and the created Certificate is in ISSUED state        |     As Expected       |
|     TC05            |     Check createCertificate function             |     name="Name5",     surname="Surname5",     hackathon="hackathonE",     startDate=”1”,   endDate=”1”,   hackathonParticipantId=”1”,   hackatonId=”1”,   solutionValid=FALSE,     solutionId=”0”            |     Function call fails                                                                           |     As Expected       |
|     TC06            |     Check createCertificate function             |     name="Name6",     surname="Surname6",     hackathon="hackathonF",     startDate=”1”,   endDate=”1”,   hackathonParticipantId=”1”,   hackatonId=”1”,   solutionValid=TRUE,      solutionId=”0”            |     Function call fails                                                                           |     As Expected       |
|     TC07            |     Check createCertificate function             |     name="Name7",     surname="Surname7",     hackathon="hackathonG",     startDate=1,     endDate=1,     hackathonParticipantId=1,     hackatonId=1,     solutionValid=”FALSE”,   solutionId=0              |     Function call fails                                                                           |     As Expected       |
|     TC08            |     Check createCertificate function             |     name="Name8",     surname="Surname8",     hackathon="hackathonH",     startDate=1,     endDate=1,     hackathonParticipantId=1,     hackatonId=1,     solutionValid=”TRUE”,    solutionId=0              |     Function call fails                                                                           |     As Expected       |
|     TC09            |     Check confirmEvaluationResults function      |     tokenId=0,     solutionId=0,     solutionValid=TRUE                                                                                                                                                      |     Function call fails                                                                           |     As Expected       |
|     TC10            |     Check confirmEvaluationResults function      |     tokenId=1,     solutionId=1,     solutionValid=TRUE                                                                                                                                                      |     Certificate of tokenId of 1 and Certificate state is updated to ISSUED_FOR_SOLUTION           |     As Expected       |
|     TC11            |     Check confirmEvaluationResults function      |     tokenId=”1”,   solutionId=”1”,   solutionValid=TRUE                                                                                                                                                      |     Function call fails                                                                           |     As Expected       |
|     TC12            |     Check confirmEvaluationResults function      |     tokenId=1,     solutionId=1,     solutionValid=”TRUE”                                                                                                                                                    |     Function call fails                                                                           |     As Expected       |
|     TC13            |     Check confirmEvaluationResults function      |     tokenId=2,     solutionId=1,     solutionValid=FALSE                                                                                                                                                     |     Certificate of tokenId of 2 and Certificate state is updated to ISSUED_FOR_PARTICIPATION      |     As Expected       |
|     TC14            |     Check confirmEvaluationResults function      |     tokenId=”2”,   solutionId=”1”,   solutionValid= FALSE                                                                                                                                                    |     Function call fails                                                                           |     As Expected       |
|     TC15            |     Check confirmEvaluationResults function      |     tokenId=2,     solutionId=1,     solutionValid=”FALSE”                                                                                                                                                   |     Function call fails                                                                           |     As Expected       |
|     TC16            |     Check confirmEvaluationResults function      |     tokenId=3,     solutionId=0,     solutionValid=TRUE                                                                                                                                                      |     Certificate of tokenId of 3 and Certificate state is updated to ISSUED_FOR_PARTICIPATION      |     As Expected       |
|     TC17            |     Check confirmEvaluationResults function      |     tokenId=”3”,   solutionId=”0”,   solutionValid=TRUE                                                                                                                                                      |     Function call fails                                                                           |     As Expected       |
|     TC18            |     Check confirmEvaluationResults function      |     tokenId=3,     solutionId=0,     solutionValid=”TRUE”                                                                                                                                                    |     Function call fails                                                                           |     As Expected       |
|     TC19            |     Check confirmEvaluationResults function      |     tokenId=4,     solutionId=4,     solutionValid=TRUE                                                                                                                                                      |     Certificate of tokenId of 4 and Certificate state is updated to ISSUED_FOR_SOLUTION           |     As Expected       |
|     TC20            |     Check confirmEvaluationResults function      |     tokenId=”4”,   solutionId=”4”,   solutionValid=TRUE                                                                                                                                                      |     Function call fails                                                                           |     As Expected       |
|     TC21            |     Check confirmEvaluationResults function      |     tokenId=4,     solutionId=4,     solutionValid=”TRUE”                                                                                                                                                    |     Function call fails                                                                           |     As Expected       |
